,Unnamed: 0,comics,id,name
679,79,26,1009736,Yellow Claw
680,80,9,1010996,Yellowjacket (Rita DeMara)
681,81,68,1010698,Young Avengers
682,82,18,1011277,Young X-Men
683,83,15,1009738,Zaladane
684,84,22,1010841,Zaran
685,85,3,1010716,Zarda
686,86,0,1011163,Zarek
687,87,0,1009739,Zeigeist
688,88,15,1010780,Zemo
689,89,1,1011127,Zodiak
690,90,1,1009741,Zombie (Simon Garth)
691,91,3,1011183,Zuras
692,92,5,1009742,Zzzax
693,0,21,1009489,Ben Parker
694,1,17,1011346,Ben Reilly
695,2,53,1010782,Ben Urich
696,3,9,1010829,Bengal
697,4,44,1009180,Beta-Ray Bill
698,5,26,1010325,Betty Brant
699,6,68,1009548,Betty Ross
700,7,15,1011138,Beyonder
701,8,0,1011296,Bi-Beast
702,9,6,1010843,Big Bertha
703,10,2,1009181,Big Wheel
704,11,0,1011262,Bill Hollister
705,12,293,1009182,Bishop
706,13,1,1011224,Bishop (Ultimate)
707,14,0,1009183,Black Bird
708,15,161,1009184,Black Bolt
709,16,0,1017330,Black Bolt (Marvel War of Heroes)
710,17,166,1009185,Black Cat
711,18,5,1010910,Black Cat (Ultimate)
712,19,1,1010859,Black Crow
713,20,106,1009186,Black Knight (Sir Percy of Scandia)
714,21,645,1009187,Black Panther
715,22,8,1011130,Black Panther (Ultimate)
716,23,2,1010356,Black Queen
717,24,23,1010687,Black Tarantula
718,25,13,1009188,Black Tom
719,26,548,1009189,Black Widow
720,27,0,1017296,Black Widow (LEGO Marvel Super Heroes)
721,28,18,1010911,Black Widow (Ultimate)
722,29,1,1017109,Black Widow/Natasha Romanoff (MAA)
723,30,9,1009190,Blackheart
724,31,5,1010881,Blacklash
725,32,5,1011349,Blackout
726,33,92,1009191,Blade
727,34,36,1009195,Blastaar
728,35,3,1010830,Blazing Skull
729,36,24,1011291,Blindfold
730,37,63,1009197,Blink
731,38,13,1009198,Blizzard
732,39,76,1009199,Blob
733,40,14,1011132,Blob (Ultimate)
734,41,12,1009200,Blockbuster
735,42,6,1009201,Blok
736,43,3,1009202,Bloke
737,44,17,1011416,Blonde Phantom
738,45,5,1011073,Bloodaxe
739,46,5,1009203,Bloodscream
740,47,23,1009204,Bloodstorm
